timestamp,senamhi_flow,senamhi_level,velocimetry
1746972023000,38.8631,0.38,"[1.3911525051762543, 1.5034618330381844, 1.998036683411207, 2.406833961090244, 2.6988841932794707, 2.839380529576589, 2.9931209020295926, 3.206811366564083, 3.417155336557752, 3.368534890869574, 3.0399719662795954, 2.544580874754581, 2.0639882181214726, 1.692763360781736, 1.3857824103186076, 1.155069481330025, 1.0363458800839092]"
1750024816000,28.0286,0.1,"[1.1082838966827038, 1.0321646088865246, 1.1922237730477647, 1.37886488744023, 1.8922258840066173, 2.226825630931181, 2.2206025174581585, 1.9594268872423284, 2.2609161989174638, 2.3758069373541257, 2.2823292629179326, 2.0868347410674595, 1.8565421335013792, 1.4290245033875033, 0.8658521742093487, 0.8323258534186547, 0.7357126475048673]"
1749142816000,32.369,0.17,"[1.2339058682158017, 1.2248136346626695, 1.4065280059163903, 1.7637778107118574, 2.167919156648977, 2.4401951076153887, 2.4451992626666224, 2.1974059823999155, 2.2432788006067597, 2.3159195973747355, 2.2605673532262993, 2.109776709406792, 1.9429150412772889, 1.3977324233241675, 0.9787948325318907, 0.8360420729846512, 0.6767196100713365]"
1749513617000,29.8888,0.13,"[1.308047181274003, 1.4661096008085492, 1.5591421697633783, 1.6156725148864894, 1.8641568734502991, 2.03352185431515, 2.1860371639148535, 1.9540931289855252, 2.177239250648583, 2.187494676629233, 2.0062512082882153, 1.4670690485201343, 1.2562142620865158, 1.1336528581508256, 0.7376882858238512, 0.7103635437633927, 0.8178152291896894]"
1749646817000,28.6487,0.11,"[1.1191423177254343, 1.1639179221520917, 1.381203527851957, 1.5938252965118158, 1.9479249089111514, 2.2469780255351197, 2.26207415741728, 2.0323742323678076, 2.2034639808768484, 2.348957127007857, 2.279909635029142, 1.9882944858585871, 1.834994682742779, 1.4085321793527232, 0.90502135797253, 0.8075870980102919, 0.699969561180818]"
1748008816000,23.0655,0.145,"[1.091341284247544, 1.198521561424727, 1.4892666669624344, 1.7927718524486815, 2.010422847507284, 2.1635229334912114, 2.2955968155764284, 2.322162754429512, 2.5108153317041277, 2.514095859820014, 2.337519921032173, 1.969640978074823, 1.7541051651078297, 1.4480132018144962, 1.0494039048622132, 0.9155558427940393, 0.7448644909839862]"
1746468023000,59.3664,0.685,"[1.881498171026417, 2.0915962847335035, 2.564645794678508, 3.3173294770619153, 3.5363683623336324, 3.5463188451459478, 3.55591293828583, 3.62996735421504, 3.702195131595953, 3.6748796087937716, 3.5012777703390157, 3.075980324463556, 2.6714205713269896, 2.354153943956376, 2.0981687178819284, 1.9189523123026355, 1.7337723923239867]"
1747213216000,32.813,0.33,"[1.4364231420200109, 1.6577688802440216, 1.825133315523438, 2.070751922175336, 2.3687309644719887, 2.5452681286542918, 2.4867193903843723, 2.638506186906575, 2.7139831046923613, 2.5307806824925225, 2.449598529281015, 2.141849337054867, 1.7503999010310152, 1.4517051085955452, 1.250460078648024, 1.1509116508761166, 1.2126798872594207]"
1745600422000,30.124,0.25,"[1.3432774904884974, 1.441810563910253, 1.7322395929132692, 1.8245354272366179, 2.272857213575957, 2.5366870046413372, 2.7379357544348952, 2.8951074854502727, 3.042291335996333, 2.9497232943413407, 2.6891707960810534, 2.3290392537681477, 1.9124328846541785, 1.5736277732424668, 1.2937704394547664, 1.0488503089268597, 0.8604441111014249]"
1746856825000,45.5855,0.48,"[1.5121448455365905, 1.7968640036567327, 2.002310885772802, 2.3271927644978256, 2.9104067705943737, 3.254248956038259, 3.3523367228803984, 3.614916905897023, 3.5489137981631598, 3.312590392304467, 2.8668571861739265, 2.215960496671236, 1.9527283813840586, 1.72027413393967, 1.5272644343410116, 1.2631296796458769, 1.1154006912263306]"
