timestamp,senamhi_flow,senamhi_level,velocimetry
1748674816000,29.4518,0.24,"[1.4216314375138022, 1.590348666789089, 1.7350535521588766, 1.9065046701975539, 2.178321823518854, 2.408089920904634, 2.477958393727877, 2.5928361175845707, 2.6142208613512863, 2.3122166953667675, 2.161280410798146, 1.8459922280475174, 1.535979318436615, 1.3753329644750087, 1.1286232315737448, 0.8929069145790672, 0.981790031749417]"
1748678416000,32.9891,0.18,"[1.41155183919355, 1.5242779750046824, 1.6403493539883949, 1.768386469175688, 2.025442976930147, 2.2374427618483845, 2.3892797201112015, 2.4027953337315835, 2.2965589782504563, 2.1196478276861153, 2.0051595700660214, 1.6390082321593087, 1.3710010370566945, 1.2298403088228584, 0.9368415198560593, 0.8047352490871534, 0.8802444729301432]"
1748682017000,31.749,0.16,"[1.4119965238606056, 1.5137835995677802, 1.6030795184575002, 1.7319144440339194, 1.9730442817622291, 2.1883588186590597, 2.340161554382769, 2.227468687528857, 2.1843736500834434, 2.097653195023019, 2.029912460795464, 1.6597969365555003, 1.3514848002824604, 1.2337245591573642, 0.8315693646885013, 0.7161734267748076, 0.8426663641034894]"
1748685617000,31.749,0.16,"[1.4444443911371054, 1.5846650806189875, 1.7026032871625751, 1.8454134614740665, 2.068820303947075, 2.3291610866292984, 2.6092243402567967, 2.499518386302428, 2.0773877496252484, 2.0051678164243256, 1.933571954060291, 1.620772363937039, 1.2648507483394384, 1.104778003023303, 0.8337341326511172, 0.8515325256062781, 0.9888685608105859]"
1748689216000,31.1289,0.15,"[1.4176842942715464, 1.470017573746172, 1.5303862256195975, 1.658663396013323, 1.9466568792612482, 2.172989638753138, 2.330648447552671, 2.1753746754654273, 2.2723892486330834, 2.2702615120250704, 2.0800614865616978, 1.7130548693269576, 1.4450151666539113, 1.1990461565695212, 0.7949743268429147, 0.7225159730867897, 0.6240326426578969]"
1748692816000,31.1289,0.15,"[0.9130093192029459, 1.0945553789221623, 1.306926712714994, 1.6816429724657553, 2.130976411385291, 2.3885982031295905, 2.37342642776632, 2.196128505751624, 2.2091780537544414, 2.3304312947354107, 2.324890493686124, 2.143666077094249, 1.9559735890048908, 1.4795279529277676, 0.9901953443852398, 0.8441113003141744, 0.7714859144085393]"
1748696417000,31.1289,0.15,"[1.2135024273777764, 1.181745945198212, 1.4273553687825857, 1.7640836036508571, 2.1207815884767003, 2.3825308323242447, 2.3636940042526717, 2.135132123921941, 2.235121832405236, 2.3621294939758446, 2.3005691063142275, 2.0116376176474478, 1.8475041135914068, 1.4025840043065378, 0.9876714954927261, 0.8397663555882279, 0.7364865031074136]"
1748700017000,31.1289,0.15,"[1.138051058303047, 1.172376775720155, 1.424582693582294, 1.776191765261668, 2.167564182536152, 2.398057303907256, 2.4000492296978093, 2.23376069467906, 2.328685822492794, 2.3817725455120047, 2.313793178021749, 2.03015637513339, 1.8784782927215962, 1.5040363344780252, 1.0135030034446884, 0.8721287275184374, 0.7445365400509422]"
1748703616000,31.1289,0.15,"[1.1685216471616755, 1.2169569728715983, 1.45371149190892, 1.8121246637478832, 2.1834908185095427, 2.4145190092521704, 2.4189216674021443, 2.207754100767668, 2.328894064558721, 2.3685669875820983, 2.269158939376618, 1.9857091045495059, 1.7535871958882252, 1.4482644489090704, 0.9964056119254765, 0.8959545410893174, 0.7946883259265839]"
1748707216000,31.749,0.16,"[1.1852888728057345, 1.2486777062008396, 1.4929617970195455, 1.8164607154002268, 2.166565653282869, 2.386165911441183, 2.448916057318945, 2.385557271856981, 2.453859069481323, 2.43043634301819, 2.306927343813212, 2.048983093836105, 1.8844639499341698, 1.5282475799082338, 1.0569327270703976, 0.9469727757998357, 0.863266397181829]"
